,Dice_mean,Dice_std,Jaccard_mean,Jaccard_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,SSIM_mean,SSIM_std
HV-OCTAMamba,0.8316106625917934,0.02647958320322028,0.7126028678543479,0.03731534196769701,0.968736049107143,0.0069540393889806545,0.8450880863603598,0.029693176607792027,0.9812379848003263,0.005884174043882041,0.8052082678038477,0.029026484656182207
OCTAMamba,0.8376051114744412,0.028591771909371233,0.72157408966549,0.04024406334028675,0.9697797751913265,0.008117679412933971,0.8504976690651036,0.027062720161092197,0.9818223725492777,0.007652658289104366,0.8066879051052909,0.031111904585226696
AC-Mamba,0.8429705410896519,0.028914221030755683,0.7295980689729002,0.04141226588153815,0.9715168606505102,0.006602543862514321,0.8381869460575853,0.03104389258679833,0.9852507264845576,0.004919000827421675,0.8083329038169176,0.03085878992119602
H-vmunet,0.6780270190500326,0.035342538375572795,0.5139520037383195,0.03975103879870982,0.9398957669005102,0.007438221145720271,0.6961432900777967,0.04141526083806978,0.9647569286130271,0.005129957924377829,0.6479401333649247,0.038008060873341014
H2Former,0.7793230088836564,0.028301251119569687,0.6392897940248792,0.03689926469795111,0.9582605229591837,0.007449147556065318,0.8077598037474429,0.03187501426551519,0.9735634504029105,0.005502216878579513,0.7584495108023317,0.03165689683466761
MISSFormer,0.8133970598746878,0.026395180643645568,0.686294934287281,0.036495331914695034,0.9656257971938773,0.006234904816204189,0.8223142628217046,0.03730459508595954,0.9803080835254803,0.004595013378837242,0.7826753089622608,0.030658512610194998
VM-UNet,0.7760875437470816,0.03218952497181048,0.6351913761564841,0.041407798787785145,0.958356784119898,0.008908623522141187,0.7894704914868023,0.033162972974394446,0.9754984347721625,0.00774560752099668,0.7249487749464465,0.03798982545673208
VM-UNetv2,0.6164952502369767,0.03359651495918002,0.4464485165165993,0.034802084637973595,0.9239184072066325,0.011075799537152134,0.6697456012462173,0.03797455763235541,0.9495490525023998,0.009019484977591263,0.6127848373006092,0.04116764760446094
Swin-Unet,0.7773427454661228,0.03129225378918786,0.6368291431390328,0.04096832371749521,0.9600803172831631,0.007200738644417638,0.7647423435622898,0.03529757856817725,0.9798260483647729,0.005774567299176824,0.7322447944617047,0.03579783330625477
R2UNet,0.36943677851126094,0.043882590633126835,0.22746478837206524,0.03326765587196015,0.9286439732142857,0.011576397896072984,0.22842905978217243,0.033399436159202794,0.9995743299394537,0.0003818265126903363,0.5523301696567405,0.05236278750076308
UNet++,0.8355673661391285,0.02622459469900515,0.7184188248326642,0.03752159144985785,0.9706702407525509,0.006251908407747117,0.8163286612685752,0.03348663904729629,0.9864084014846823,0.004068675898733454,0.8098469838970667,0.02947294653774001
U-Net,0.8188228384057232,0.026333754681530163,0.6940428822725838,0.036670334339515415,0.9664154177295917,0.006862667942688953,0.8310841507576845,0.030717633404130047,0.9801645677321221,0.00546335202652015,0.7939907131161654,0.030794388574934307
