Dice_mean,Dice_std,Jaccard_mean,Jaccard_std,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,SSIM_mean,SSIM_std,Dataset,Model
0.8586417033025845,0.0220377719062369,0.7529371252401046,0.0331136251579944,0.9812424266581632,0.0023340384492507,0.8572366903684617,0.0287900715874101,0.9901776879189466,0.0017958298612899,0.887931177444998,0.0143279386373844,OCTA500_3M,HV-OCTAMamba
0.8485091536355513,0.0206743814683505,0.7374293592916511,0.0306814813481186,0.9794300063775512,0.0025058678428009,0.864891690453003,0.0286192164929934,0.9876770233354364,0.0020738369735245,0.883881789673261,0.0146566768366097,OCTA500_3M,OCTAMamba
0.8708834310592757,0.021012286613552,0.7718901072950985,0.0319308433089486,0.9830970982142856,0.0024431054387323,0.8560425976155429,0.0270394652131116,0.9923710984546336,0.0016431832229451,0.8946112952325206,0.015810286630776,OCTA500_3M,AC-Mamba
0.7279095919438805,0.0327129881501769,0.573257511232599,0.0405581713338692,0.9632975924744898,0.0039808243460342,0.7374851810117536,0.0418748482052335,0.979651707760258,0.0025191389108945,0.7946144621002618,0.0242396393072431,OCTA500_3M,H-vmunet
0.82214324402421,0.0234353134399027,0.6986621325023874,0.0333322383565764,0.9759988839285714,0.0030734978472065,0.831765180663635,0.0271906157776483,0.986416553031544,0.0020116114685338,0.8679895928676222,0.0167052873659219,OCTA500_3M,H2Former
0.8301026924146611,0.0238240163717864,0.71025130893115,0.0343713927570527,0.9772743941326532,0.0026997404684938,0.8346195853672503,0.0315657001312519,0.9876012110086262,0.0019387439462506,0.8676725177592295,0.0172182652874837,OCTA500_3M,MISSFormer
0.794358157046238,0.0258200957397422,0.6596249936958866,0.0353945770886775,0.9731640625,0.0031529427033646,0.7778482872396754,0.0295579801647103,0.987340260374582,0.0022826255961287,0.8404453227530138,0.0202269294250618,OCTA500_3M,VM-UNet
0.68213050691473,0.0331963954064393,0.5185784176846601,0.0388372611006982,0.9549896364795916,0.004962689018904,0.7238602114533441,0.0405089798022832,0.9716764915310062,0.0033198586018244,0.7803429740437577,0.0252212438469977,OCTA500_3M,VM-UNetv2
0.80489044119456,0.0276218976374396,0.6743692856805231,0.038209228861157,0.9736834343112244,0.003162256221785,0.8157658007154847,0.0268942746943072,0.9851066438923292,0.0028530491223576,0.8373086848302543,0.0237650225279124,OCTA500_3M,Swin-Unet
0.7313084959686255,0.0301373200640779,0.5773227765895785,0.037711633806242,0.9671504304846938,0.0037240684170662,0.6706120132314858,0.0380940876591071,0.9885893267314052,0.0022771727066395,0.8046985609654093,0.0223411145524297,OCTA500_3M,R2UNet
0.8775977406552892,0.0206542001744089,0.7824779124943062,0.0318391264659983,0.9837930484693878,0.0023851622499026,0.8728682738323702,0.0254127013049576,0.9918323560700448,0.0019630590923172,0.901943569123164,0.0142554753562012,OCTA500_3M,UNet++
0.8287694377294494,0.0216294923320274,0.7081800427643131,0.031117185841159,0.9775932716836736,0.0028526846354779,0.8125898686690257,0.0269184635187413,0.989495769279222,0.0016574517798695,0.8735068635008448,0.0160580893320904,OCTA500_3M,U-Net
0.8316106625917934,0.0264795832032202,0.7126028678543479,0.037315341967697,0.968736049107143,0.0069540393889806,0.8450880863603598,0.029693176607792,0.9812379848003264,0.005884174043882,0.8052082678038477,0.0290264846561822,OCTA500_6M,HV-OCTAMamba
0.8376051114744412,0.0285917719093712,0.72157408966549,0.0402440633402867,0.9697797751913264,0.0081176794129339,0.8504976690651036,0.0270627201610921,0.9818223725492776,0.0076526582891043,0.8066879051052909,0.0311119045852266,OCTA500_6M,OCTAMamba
0.8429705410896519,0.0289142210307556,0.7295980689729002,0.0414122658815381,0.9715168606505102,0.0066025438625143,0.8381869460575853,0.0310438925867983,0.9852507264845576,0.0049190008274216,0.8083329038169176,0.030858789921196,OCTA500_6M,AC-Mamba
0.6780270190500326,0.0353425383755727,0.5139520037383195,0.0397510387987098,0.9398957669005102,0.0074382211457202,0.6961432900777967,0.0414152608380697,0.9647569286130272,0.0051299579243778,0.6479401333649247,0.038008060873341,OCTA500_6M,H-vmunet
0.7793230088836564,0.0283012511195696,0.6392897940248792,0.0368992646979511,0.9582605229591836,0.0074491475560653,0.8077598037474429,0.0318750142655151,0.9735634504029104,0.0055022168785795,0.7584495108023317,0.0316568968346676,OCTA500_6M,H2Former
0.8133970598746878,0.0263951806436455,0.686294934287281,0.036495331914695,0.9656257971938772,0.0062349048162041,0.8223142628217046,0.0373045950859595,0.9803080835254804,0.0045950133788372,0.7826753089622608,0.0306585126101949,OCTA500_6M,MISSFormer
0.7760875437470816,0.0321895249718104,0.6351913761564841,0.0414077987877851,0.958356784119898,0.0089086235221411,0.7894704914868023,0.0331629729743944,0.9754984347721624,0.0077456075209966,0.7249487749464465,0.037989825456732,OCTA500_6M,VM-UNet
0.6164952502369767,0.03359651495918,0.4464485165165993,0.0348020846379735,0.9239184072066324,0.0110757995371521,0.6697456012462173,0.0379745576323554,0.9495490525023998,0.0090194849775912,0.6127848373006092,0.0411676476044609,OCTA500_6M,VM-UNetv2
0.7773427454661228,0.0312922537891878,0.6368291431390328,0.0409683237174952,0.9600803172831632,0.0072007386444176,0.7647423435622898,0.0352975785681772,0.9798260483647728,0.0057745672991768,0.7322447944617047,0.0357978333062547,OCTA500_6M,Swin-Unet
